,Date,Confirmed_1,Discharges_1,LocalTransmission_1
314,12/9/2020,-6.0,-2.0,0.0
315,12/10/2020,0.0,0.0,0.0
316,12/11/2020,2.0,-2.0,1.0
317,12/12/2020,0.0,1.0,-1.0
318,12/13/2020,-1.0,6.0,0.0
319,12/14/2020,-2.0,-9.0,0.0
320,12/15/2020,11.0,21.0,1.0
321,12/16/2020,-4.0,-18.0,-1.0
322,12/17/2020,12.0,9.0,0.0
323,12/18/2020,-15.0,-1.0,0.0
324,12/19/2020,8.0,-4.0,0.0
325,12/20/2020,2.0,-4.0,0.0
326,12/21/2020,-9.0,3.0,1.0
327,12/22/2020,19.0,9.0,-1.0
328,12/23/2020,-8.0,1.0,0.0
329,12/24/2020,-8.0,-8.0,0.0
330,12/25/2020,1.0,10.0,0.0
331,12/26/2020,-4.0,-10.0,0.0
332,12/27/2020,-5.0,-2.0,0.0
333,12/28/2020,0.0,8.0,1.0
334,12/29/2020,8.0,-2.0,-1.0
335,12/30/2020,14.0,-3.0,1.0
336,12/31/2020,3.0,27.0,4.0
337,1/1/2021,0.0,-28.0,-2.0
338,1/2/2021,3.0,7.0,-3.0
339,1/3/2021,2.0,-6.0,0.0
340,1/4/2021,-11.0,-1.0,0.0
341,1/5/2021,4.0,10.0,2.0
342,1/6/2021,3.0,4.0,0.0
343,1/7/2021,2.0,-3.0,0.0
344,1/8/2021,-10.0,-3.0,0.0
345,1/9/2021,6.0,13.0,-2.0
346,1/10/2021,13.0,-6.0,0.0
347,1/11/2021,-20.0,7.0,0.0
348,1/12/2021,-5.0,-6.0,0.0
349,1/13/2021,21.0,2.0,1.0
350,1/14/2021,7.0,7.0,0.0
351,1/15/2021,-15.0,-21.0,0.0
352,1/16/2021,-6.0,-1.0,4.0
353,1/17/2021,6.0,49.0,-3.0
354,1/18/2021,-16.0,-40.0,0.0
355,1/19/2021,16.0,4.0,2.0
356,1/20/2021,10.0,6.0,0.0
357,1/21/2021,-2.0,1.0,0.0
358,1/22/2021,-23.0,-9.0,-3.0
359,1/23/2021,-5.0,8.0,-1.0
360,1/24/2021,38.0,-6.0,0.0
361,1/25/2021,-4.0,-1.0,0.0
362,1/26/2021,-30.0,-5.0,0.0
363,1/27/2021,11.0,-2.0,0.0
364,1/28/2021,9.0,26.0,0.0
365,1/29/2021,-10.0,-11.0,0.0
366,1/30/2021,34.0,-18.0,3.0
367,1/31/2021,-29.0,17.0,-3.0
368,2/1/2021,0.0,11.0,0.0
369,2/2/2021,-10.0,-13.0,0.0
370,2/3/2021,-1.0,-11.0,0.0
371,2/4/2021,4.0,9.0,0.0
372,2/5/2021,3.0,-3.0,2.0
373,2/6/2021,1.0,7.0,-2.0
374,2/7/2021,-2.0,-4.0,1.0
375,2/8/2021,-2.0,23.0,1.0
376,2/9/2021,-11.0,-29.0,-2.0
377,2/10/2021,4.0,-2.0,1.0
378,2/11/2021,-3.0,12.0,2.0
379,2/12/2021,6.0,-21.0,-1.0
380,2/13/2021,-9.0,24.0,-2.0
381,2/14/2021,5.0,-18.0,0.0
382,2/15/2021,-5.0,3.0,0.0
383,2/16/2021,-8.0,0.0,0.0
384,2/17/2021,10.0,-5.0,1.0
385,2/18/2021,0.0,-12.0,-1.0
386,2/19/2021,3.0,15.0,0.0
387,2/20/2021,-2.0,4.0,0.0
388,2/21/2021,-1.0,-10.0,0.0
389,2/22/2021,-1.0,3.0,1.0
390,2/23/2021,-6.0,-8.0,0.0
391,2/24/2021,3.0,1.0,0.0
392,2/25/2021,3.0,16.0,1.0
393,2/26/2021,3.0,-6.0,-2.0
394,2/27/2021,-1.0,-5.0,0.0
